learnerId,learnerCity,tutorId,tutorCity,score_mf,tutorName,tutorSubjects,tutorGrades
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,Y1xiSEf7OsQabrNMK786vsstN702,Mekelle,0.7326236963272095,atsede,Mathematics;Physics;Chemistry,5–6;7–8;9–10;11-12
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,0W7NM9Ie82Ta9E6BWE569HKVAE42,Mekelle,0.6983609199523926,mehari,Mathematics;Physics;Civics;Biology;ICT;English,9-10;11-12
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,H8qRTDIPyASubMbX088q4u5PTkJ2,Mekelle,0.6547626256942749,solomon,Mathematics;Physics;Chemistry;English,7-8;11-12;1-4;5-6;9-10
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,2cPC4cc64pNHZ7sIOqBv7d6qup33,Adwa,0.5896549224853516,nahom,Mathematics;Chemistry;Biology;English;ICT,7-8;11-12;9-10
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,xFlzvKYWz2PrAN2Bd8fbiPcNdtI2,Aksum,0.5342968702316284,almaz,Mathematics;Physics;Chemistry;History,9-10;11-12;7-8
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,exMEFoTNtJab9zbdtPUirylPR0S2,Mekelle,0.5076093673706055,seble,Mathematics;Chemistry;English;Biology;Physics,KG;1–4;5–6;7–8;9–10;11–12
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,R15YifvlSQRs3vxkbBQIrxwfz1M2,Mekelle,0.5018904209136963,dawit,Mathematics;Physics;Chemistry;Biology,7-8;11-12;5-6;9-10
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,PSYR1jp4fSTQPHzlhkpoPHVPbCm2,Mekelle,0.46284452080726624,selam,Mathematics;Physics;Chemistry;English;Biology;ICT;Economics,KG;1–4;5–6;7–8;9–10;11–12
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,y5E27NmxoUQt1jMjpo2lFZSrwPn1,Mekelle,0.45983362197875977,Hiyab,Mathematics;Physics;Biology;ICT,7-8;9-10;11-12
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,DsrjfIvXpFQpDBqLNpFTvNByp0u2,Mekelle,0.4457234740257263,tsegazeab,Mathematics;English;Biology;History;ICT;Physics,1–4;KG;9-10;11-12;7-8;1-4
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,eOQddar3QtZyhchS9WDKPAXZhis2,Mekelle,0.4433325231075287,alem,English,nan
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,0l2f2PHXtNRUMCFN9TX6TIywPhx1,Mekelle,0.4204038381576538,teddy,Mathematics;Physics;Chemistry;Biology,KG;7-8;9-10;1-4;11-12;5-6
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,nll9dUGXHMYqJxqYoLQeJo2rpGL2,Adwa,0.3996678590774536,natnael,English;Mathematics;Physics;Chemistry,5-6;7-8;9-10;11-12
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,iknR9qbLh9ZVXW6DLCa24hv0hq23,Mekelle,0.3931584358215332,tirhas,Chemistry;Mathematics;English;Tigrigna,KG;1–4;5–6
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,v3njZn6muKYDNyM2HsyWgMrU8mi2,Mekelle,0.3891681730747223,abdelaziz,Biology;English;Mathematics,5-6;1-4;7-8;9-10;11-12
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,lMrF4YtWI8Q0wmWhNs4r2bKK9q53,Mekelle,0.38501209020614624,netsanet,Mathematics;English;Amharic;Physics;Tigrigna;Biology;Civics;Chemistry;Geography;History;Physical Education;ICT;Art;Ethics;Social Studies;Economics,1-4;KG;7-8;9-10;11-12;5-6
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,UAUK5c6yUiPDhemJ4nHJIV4MLuE3,Adwa,0.3792494535446167,yonatan,English;Mathematics;Chemistry;Geography,KG;7-8;5-6
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,YIeOeuPVRHTW01YOwKwSAxIVzGO2,Mekelle,0.37776482105255127,Hayat,Mathematics;Physics;Chemistry;History;Biology;English,5-6;7-8;11-12
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,ECcTDZvf9vOkwuc4xcbqBVNSFot1,Adwa,0.37361517548561096,lemlem,Mathematics;English;Amharic;Physics;Tigrigna;Chemistry;Biology;Civics;History;Geography;Physical Education;ICT;Ethics;Art;Social Studies;Economics,KG;1-4;5-6;7-8;9-10;11-12
2QSghpegl6Tlu2niVa1evismWyL2,Mekelle,QJ8HvLQFoQaTr16OvNXZdZpnj7F3,Adwa,0.3610116243362427,etsub,Physics;Chemistry;Biology,9-10;11-12;5-6
3p9IDe0ZGxUknTIMim6vwt5QX2h2,Aksum,exMEFoTNtJab9zbdtPUirylPR0S2,Mekelle,0.5874673128128052,seble,Mathematics;Chemistry;English;Biology;Physics,KG;1–4;5–6;7–8;9–10;11–12
3p9IDe0ZGxUknTIMim6vwt5QX2h2,Aksum,0D1aw9Bp5LPNSdnvWGFYNi1PWZE3,Adwa,0.5517777800559998,belay,Mathematics;Physics;Amharic;Tigrigna;Chemistry,KG;9-10;7-8;5-6;11-12;1-4
