learner_idx,tutor_idx,score
0,1,0.5299320267847825
0,18,0.4364528003326326
0,10,0.2098145662038391
0,2,0.3823070656757942
0,28,0.1962916505824795
0,7,0.1553742471669131
0,25,0.2168422298845411
1,13,0.2097332960087485
1,24,0.2929163442535286
1,4,0.4671048358718965
1,17,2.471309302644719
1,6,0.0457890972218354
1,0,1.8451799668100877
2,26,0.4776011369603744
2,0,0.1519595675243167
2,14,0.1164403755559585
2,23,0.479060750856743
2,3,0.3663162338696079
2,27,5.319688552651033
3,18,0.0549469166662025
3,15,1.3704571870690587
3,7,0.095292186197313
3,2,0.0714341425943238
3,11,0.0443005975143222
3,22,0.0343578430681374
3,5,0.2570850943126133
3,28,0.7951250059046853
3,19,0.1939439357288101
3,21,0.1537169634055517
4,12,0.864056046954706
4,11,0.0642840043617254
4,8,0.4836080502410029
4,18,6.97965822899243
4,21,0.221873916309569
4,1,2.469652362423119
4,20,8.938116106418432
4,10,0.0571836622780972
4,2,0.681524021298016
5,2,0.2027580853563043
6,14,0.0754239362675452
6,27,1.4405045987275464
6,0,0.0149318570455798
6,23,0.0578225792690414
6,26,0.1217669870164436
6,9,0.0514746067017007
6,16,0.822075858237306
6,4,0.6582668877255464
7,25,0.2455682666785384
7,12,0.0807209515993795
7,11,0.1614419031987591
7,5,0.0575238545451383
7,15,0.3688702530384495
7,30,0.59105195768631
7,28,0.0687156861362748
7,22,2.1199134389438816
8,8,0.0733510233826821
8,11,2.440613079405259
8,18,3.653266573660888
8,20,0.4881939070892143
8,10,0.1826835240527346
8,5,0.6332162633732706
8,30,0.3655460489267025
9,21,3.118682790388987
9,12,0.2725317930340126
9,2,0.0683093061182314
9,10,0.3100799975013792
9,30,0.3819718458726989
9,7,3.6910909160794056
9,19,0.8702408856486699
9,22,0.1353352832366127
9,8,0.3704070859576276
10,1,0.0674923036011007
10,7,0.2801029241756091
10,15,0.5047412949866384
10,20,2.1489803374475813
10,28,1.097623272188053
10,19,1.0277807262679686
10,8,2.4290522909501293
10,25,0.4268608214852691
10,5,0.1468791960786096
11,11,0.0199331839118624
11,1,2.1161109673954748
11,20,2.638401097388628
11,7,0.0447955711367395
11,2,0.0320974292945094
11,28,2.295253736608072
11,22,0.776712526982811
11,30,0.0952282955884177
12,11,0.0698642253335751
12,30,0.0876221863154846
12,21,0.0670180973032581
12,18,2.3746611293713453
12,8,1.6388985479945206
12,1,0.016686634980163
13,15,0.4382285025672394
13,1,0.6803846496705939
13,11,0.1657740736628909
13,22,0.0830021399582083
13,30,0.2744815789348669
14,4,0.1747420409170602
14,6,0.0807209515993795
14,24,0.334291568133371
14,17,0.2774717731219357
14,13,0.3655460489267025
15,18,0.3704091103408589
15,20,2.8872475625294927
15,12,0.0359193003446566
15,8,0.3577688307814536
15,1,0.3277941684538928
15,10,0.0447827843933761
15,11,0.0554015791811669
15,5,0.6270890852730561
15,2,0.2098837320364641
16,21,0.1589272173291447
16,8,0.7007840105925328
16,15,1.2835427975814802
